"cell","celltype","group","site","aneuploid"
"Cell1","malignant","malignant_ascites","ascites",TRUE
"Cell2","Tcell","Tcell","omental",FALSE
"Cell3","malignant","malignant_omental","omental",TRUE
"Cell4","macrophage","macrophage","ascites",FALSE
"Cell5","fibroblast","fibroblast","omental",FALSE
"Cell6","malignant","malignant_omental","omental",TRUE
"Cell7","macrophage","macrophage","ascites",FALSE
"Cell8","fibroblast","fibroblast","omental",FALSE
"Cell9","malignant","malignant_omental","omental",TRUE
"Cell10","malignant","malignant_ascites","ascites",TRUE
"Cell11","malignant","malignant_ascites","ascites",TRUE
"Cell12","Tcell","Tcell","omental",FALSE
"Cell13","malignant","malignant_ascites","ascites",TRUE
"Cell14","endothelial","endothelial","ascites",FALSE
"Cell15","Tcell","Tcell","ascites",FALSE
"Cell16","malignant","malignant_omental","omental",TRUE
"Cell17","fibroblast","fibroblast","ascites",FALSE
"Cell18","macrophage","macrophage","omental",FALSE
"Cell19","malignant","malignant_omental","omental",TRUE
"Cell20","fibroblast","fibroblast","omental",FALSE
"Cell21","malignant","malignant_omental","omental",TRUE
"Cell22","Tcell","Tcell","omental",FALSE
"Cell23","malignant","malignant_ascites","ascites",TRUE
"Cell24","malignant","malignant_omental","omental",TRUE
"Cell25","fibroblast","fibroblast","omental",FALSE
"Cell26","macrophage","macrophage","omental",FALSE
"Cell27","fibroblast","fibroblast","omental",FALSE
"Cell28","Tcell","Tcell","ascites",FALSE
"Cell29","malignant","malignant_omental","omental",TRUE
"Cell30","malignant","malignant_omental","omental",TRUE
"Cell31","fibroblast","fibroblast","omental",FALSE
"Cell32","malignant","malignant_omental","omental",TRUE
"Cell33","fibroblast","fibroblast","ascites",FALSE
"Cell34","adipocyte","adipocyte","omental",FALSE
"Cell35","fibroblast","fibroblast","omental",FALSE
"Cell36","macrophage","macrophage","ascites",FALSE
"Cell37","malignant","malignant_omental","omental",TRUE
"Cell38","Tcell","Tcell","omental",FALSE
"Cell39","fibroblast","fibroblast","ascites",FALSE
"Cell40","malignant","malignant_ascites","ascites",TRUE
